,mode 1,mode 2
0,16.0,15.0
1,12.0,15.0
2,14.0,13.0
3,11.0,14.0
4,13.0,14.0
5,16.0,13.0
6,13.0,16.0
7,11.0,16.0
8,12.0,13.0
9,13.0,16.0
10,15.0,16.0
11,14.0,17.0
12,12.0,15.0
13,13.0,16.0
14,11.0,12.0
15,9.0,14.0
16,12.0,13.0
17,12.0,15.0
18,16.0,17.0
19,17.0,14.0
20,16.0,13.0
21,15.0,16.0
22,17.0,12.0
23,16.0,17.0
24,15.0,16.0
25,15.0,16.0
26,14.0,17.0
27,14.0,17.0
28,14.0,17.0
29,14.0,17.0
30,15.0,16.0
31,15.0,16.0
32,14.0,15.0
33,14.0,15.0
34,14.0,15.0
35,15.0,16.0
36,15.0,16.0
37,15.0,16.0
38,15.0,16.0
39,15.0,16.0
40,15.0,16.0
41,14.0,17.0
42,14.0,17.0
43,14.0,17.0
44,14.0,17.0
45,14.0,17.0
46,14.0,17.0
47,14.0,17.0
48,15.0,16.0
49,16.0,15.0
